model_output,target,scores,scores_inserts
ingiyazi khakhulukhunaye,Ngiyazi kakhulu kunaye.,"['11111110111111011111', '11111110111111011111']","['[]', '[""0""]']"
niyazi kakhulu kunaye,Ngiyazi kakhulu kunaye.,['01111111111111111111'],['[]']
ngiyazi kakhulu kunaye,Ngiyazi kakhulu kunaye.,"['11111111111111111111', '11111111111111111111']","['[]', '[]']"
ngiyazi kakhulu kunaye,Ngiyazi kakhulu kunaye.,"['11111111111111111111', '11111111111111111111', '11111111111111111111']","['[]', '[]', '[]']"
ngiyazi,Ngiyazi kakhulu kunaye.,['11111111111111111111'],['[]']
ingiyazi khakhulu khunya,Ngiyazi kakhulu kunaye.,"['11111110111111100000', '11111110111111000000']","['[]', '[""0""]']"
ngiyazi khakhulu,Ngiyazi kakhulu kunaye.,['11111110111111111111'],['[]']
ngiyazikhakhulukhunaye,Ngiyazi kakhulu kunaye.,['11111110111111011111'],['[]']
ngiyazi  khakhulumkhanye,Ngiyazi kakhulu kunaye.,['11111110111111000000'],['[]']
ngishlalile laphaya,Ngihlalile laphaya.,['110111111111111'],['[]']
abantu baningi,Ngihlalile laphaya.,['111111111111111'],['[]']
ingihlaleli laphaya,Ngihlalile laphaya.,"['111110101111111', '111100001111111']","['[]', '[]']"
nihlalile laphaya,Ngihlalile laphaya.,"['111111111111111', '111111111111111']","['[]', '[]']"
ngihlalile laphaya,Ngihlalile laphaya.,['111111111111111'],['[]']
ngihlalile laphaya,Ngihlalile laphaya.,"['111111111111111', '111111111111111']","['[]', '[]']"
ngihlalile laphaya,Ngihlalile laphaya.,['111111111111111'],['[]']
ingishlanile laphaya,Ngihlalile laphaya.,['110111111111111'],['[]']
ngihlalile laphaya,Ngihlalile laphaya.,['111111111111111'],['[]']
tihlaleile laphaya,Ngihlalile laphaya.,['011111111111111'],"['[""0""]']"
ungihlalelelaphaya,Ngihlalile laphaya.,['111111111111111'],"['[""0""]']"
abanthu baningi,Abantu baningi.,['1011011111111'],['[]']
abanthwana babukha umese,Abantu baningi.,['1111111111111'],['[]']
abantu baningi,Abantu baningi.,"['1111111111111', '1011111011111']","['[]', '[]']"
abantu baningi,Abantu baningi.,"['1111111111111', '1111111111111']","['[]', '[]']"
abantu baningi,Abantu baningi.,"['1111111111111', '1111111111111', '1111111111111']","['[]', '[]', '[]']"
abantu baningi,Abantu baningi.,"['1111111111111', '1111111111111']","['[]', '[]']"
abantu baningi,Abantu baningi.,['1111111111111'],['[]']
abanthu baningi,Abantu baningi.,['1011111011111'],['[]']
abantu baningi,Abantu baningi.,['1011111011111'],['[]']
abanthu baningi,Abantu baningi.,['1011011011111'],['[]']
abanthu,Abantu baningi.,['1111111110000'],"['[""9"", ""10"", ""11"", ""12"", ""13""]']"
abanthwana babukha umese,Abantwana babuka ummese.,['11110111111111011111111'],['[]']
ubom phumphuthekukona,Abantwana babuka ummese.,['11111111111111111111111'],['[]']
abantwana babhuka ummesi,Abantwana babuka ummese.,"['11111111110101111111110', '10111111110101111111110']","['[]', '[]']"
abantwana babuka umese,Abantwana babuka ummese.,"['11111111111111111111111', '11111111111111111111111', '11111111111111111110111']","['[]', '[]', '[]']"
abantwana babuka umihle,Abantwana babuka ummese.,['11111111111111111111111'],['[]']
abantwana babuka umese,Abantwana babuka ummese.,"['11111111111111111101111', '11111111111111111110111']","['[]', '[]']"
abantwana,Abantwana babuka ummese.,['11111111111111111111111'],['[]']
abathwana babhukha umehe,Abantwana babuka ummese.,"['11110111111111011111111', '10100111110101011101111']","['[]', '[]']"
abantwana babhuka umese,Abantwana babuka ummese.,['11111111110101111110111'],['[]']
abanthwana babhukha umei,Abantwana babuka ummese.,['11110111110101011111110'],['[]']
abantshwana bahukha umezi,Abantwana babuka ummese.,['11110111110101011110110'],['[]']
ubumphumphuthe bukhona,Ubumpumpute bukhona.,"['101101101111111111', '111111111111111111', '101111111011111111']","['[]', '[]', '[]']"
izikhathi sini,Ubumpumpute bukhona.,['111111111111011111'],['[]']
ubhumphuphuthe bukhona,Ubumpumpute bukhona.,"['101101101111111111', '111101101011011111']","['[]', '[]']"
ubumpumpute bukhona,Ubumpumpute bukhona.,"['111111111111111111', '111111111111111111', '111111111011111111']","['[]', '[]', '[]']"
ubumpumputhe bukhona,Ubumpumpute bukhona.,['111111111111111111'],['[]']
ubuphu ubumpuphute bukhona,Ubumpumpute bukhona.,['111111111111111111'],"['[""0""]']"
ubumpumputhe,Ubumpumpute bukhona.,['111111111011111111'],['[]']
uphumbumbuthe bukhona,Ubumpumpute bukhona.,"['101111111111111111', '101111111111011111']","['[]', '[]']"
ubumphumphuthwe bukhona,Ubumpumpute bukhona.,['111111111111111111'],"['[""10""]']"
ubum mphuphuthebukhona,Ubumpumpute bukhona.,['111101101011111111'],['[]']
umbumboukekhona,Ubumpumpute bukhona.,['111000000001111111'],['[]']
imilomo ibanzi,Imilomo ibanzi.,['11111111101111'],['[]']
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111101111']","['[]', '[]']"
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111101111']","['[]', '[]']"
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111111111']","['[]', '[]']"
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111111111']","['[]', '[]']"
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111111111']","['[]', '[]']"
aimilomo,Imilomo ibanzi.,"['11111111111111', '11111111111111']","['[]', '[]']"
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
imilomo ibanzi,Imilomo ibanzi.,['11111111101111'],['[]']
imilomo ibanzi,Imilomo ibanzi.,['11111111111111'],['[]']
imilomo ibanzi,Imilomo ibanzi.,"['11111111111111', '11111111101111']","['[]', '[]']"
imillomo abhazini,Imilomo ibanzi.,['11111111001011'],"['[""14""]']"
izikhathi szini,Isikhathi sini?,['101111111111'],['[]']
uphi manje,Isikhathi sini?,['101111111111'],"['[""1""]']"
isikhathi sini,Isikhathi sini?,"['111111111111', '111111111111', '111111111111']","['[]', '[]', '[]']"
isikhathi sini,Isikhathi sini?,"['111111111111', '111111111111']","['[]', '[]']"
isikhathi sini,Isikhathi sini?,"['111111111111', '111111111111']","['[]', '[]']"
zkhatisini,Isikhathi sini?,['011111111111'],['[]']
isikhathi sini,Isikhathi sini?,['111111111111'],['[]']
isikhathi sine,Isikhathi sini?,['111111111111'],['[]']
isikhathi sini,Isikhathi sini?,['111111111111'],['[]']
isikhathi sini,Isikhathi sini?,['111111111111'],['[]']
izinkhathi sini,Isikhathi sini?,['101011111111'],"['[""3""]']"
uphi manje,Uphi manje?,['111111111'],['[]']
ngiyafuna ukhombona impela,Uphi manje?,['111111111'],['[]']
uphi manje,Uphi manje?,['111111111'],['[]']
uphi manje,Uphi manje?,"['111111111', '111111111']","['[]', '[]']"
uphi manje,Uphi manje?,"['111111111', '111111111']","['[]', '[]']"
uphi manje,Uphi manje?,['111111111'],['[]']
uphi manje,Uphi manje?,"['111111111', '111111111']","['[]', '[]']"
uphimanje,Uphi manje?,"['111111111', '111111111']","['[]', '[]']"
uphi manje,Uphi manje?,"['111111111', '101111111']","['[]', '[]']"
uphi manje,Uphi manje?,['111111111'],['[]']
uphi manje,Uphi manje?,['111111111'],['[]']
ngiyafuna ukhumbona imphela,Ngiyafuna ukumbona impela.,['111111111101111111110111'],['[]']
akhalethe ihhashi masinyane,Ngiyafuna ukumbona impela.,['111111111111111111111111'],['[]']
ingiyafunaukhumbona imphela,Ngiyafuna ukumbona impela.,"['111111111101111111110111', '111111111101111111110111']","['[]', '[""0""]']"
ngiyafuna ukumbona impela,Ngiyafuna ukumbona impela.,"['111111111111111111111111', '011111111111111111111111']","['[]', '[]']"
ngiyafuna ukumbona impela,Ngiyafuna ukumbona impela.,"['111111111111111111111111', '111111111111111111111111']","['[]', '[]']"
iyakhuna ukumbona impela,Ngiyafuna ukumbona impela.,"['111111111111111111111111', '111111111111111111111111', '011111111111111111111111']","['[]', '[]', '[]']"
ngiyafuna ukumbonaimpela,Ngiyafuna ukumbona impela.,['111111111111111111111111'],['[]']
ingiyafuna ukhombona impheba imphela,Ngiyafuna ukumbona impela.,"['111111111101111111110111', '111111111101101111110111']","['[]', '[""0""]']"
ngiyafuna ukumbona impela,Ngiyafuna ukumbona impela.,['111111111111111111111111'],['[]']
ngiyafuna ukhumbona imphela,Ngiyafuna ukumbona impela.,"['111111111111111111111111', '111111111111111111110111']","['[]', '[]']"
ngiyafuna ukhobona imphelwa,Ngiyafuna ukumbona impela.,['111111111101011111110111'],"['[""0"", ""23""]']"
akhalethe ihhashi masinyane,Akalethe ihhashi masinyane.,"['1011111110111111111111', '1111111111111111111111', '1011111110111111111111']","['[]', '[]', '[]']"
iluhlaza impela,Akalethe ihhashi masinyane.,['1111111111111111111111'],['[]']
akhaletha ihhashi masinyane,Akalethe ihhashi masinyane.,['1011110110111111111111'],['[]']
akalethe ihhashi masenyane,Akalethe ihhashi masinyane.,['1111111111111111111111'],['[]']
akalethe ihhashi masinyane,Akalethe ihhashi masinyane.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
akalethe ihhaji masinyane,Akalethe ihhashi masinyane.,"['1111111111101111111111', '1111111111101111111111']","['[]', '[]']"
akalethe ihhashimasinyane,Akalethe ihhashi masinyane.,['1111111111111111111111'],['[]']
akhalethi ishashi masinganye,Akalethe ihhashi masinyane.,['1011111110111111110111'],['[]']
akhalethe ihhashi masinyane,Akalethe ihhashi masinyane.,['1011111110111111111111'],['[]']
akhalethe ihashi masinyane,Akalethe ihhashi masinyane.,['1011111110111111111111'],['[]']
akhalethuo n,Akalethe ihhashi masinyane.,['1111110101110111110111'],"['[""6"", ""8"", ""12""]']"
iluhlaza imphela,Iluhlaza impela.,['11111111110111'],['[]']
sawubona,Iluhlaza impela.,['11111111111111'],['[]']
ihluza imphela,Iluhlaza impela.,"['10010111110111', '10000111110111']","['[]', '[]']"
iluhlaza impela,Iluhlaza impela.,['11111111111111'],['[]']
iluhlaza impela,Iluhlaza impela.,['11111111111111'],['[]']
iluhlaza impela,Iluhlaza impela.,"['11111111111111', '11111111111111']","['[]', '[]']"
iluhlaza impela,Iluhlaza impela.,['11111111111111'],['[]']
ilulazi imphela,Iluhlaza impela.,"['11101101110111', '11101101110111']","['[]', '[]']"
iluhlaza impela,Iluhlaza impela.,['11111111111111'],['[]']
iluiiluhlaza imphela,Iluhlaza impela.,['11111111111111'],['[]']
iluhlaza imphelwa,Iluhlaza impela.,['11111111110111'],"['[""13""]']"
sawubona,"Sawubona, mngane!","['11110111111111', '11110111111111', '11110111111111']","['[]', '[]', '[]']"
siyosebenza ngamandla,"Sawubona, mngane!",['11111111111111'],['[]']
sawubona,"Sawubona, mngane!",['11110111111110'],['[]']
sawubona,"Sawubona, mngane!","['11111111111111', '11111111111111']","['[]', '[]']"
sawubona,"Sawubona, mngane!","['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
sawubona,"Sawubona, mngane!","['11111111111111', '11111111111111']","['[]', '[]']"
sawubona,"Sawubona, mngane!",['11111111111111'],['[]']
sawubhona,"Sawubona, mngane!","['11111111111111', '11110111111111']","['[]', '[]']"
sawubona,"Sawubona, mngane!",['11110111111111'],['[]']
sawubona,"Sawubona, mngane!","['11111111111111', '11111111111111']","['[]', '[]']"
sabubona,"Sawubona, mngane!",['11111111111111'],['[]']
siyosebenza ngamandla,Siyosebenza ngamandla.,['1111111111111111111'],['[]']
e,Siyosebenza ngamandla.,['1111111111111111111'],['[]']
iyosibenza ngamandla,Siyosebenza ngamandla.,"['1111101111111111111', '1111100111111111111']","['[]', '[]']"
siyosebenza ngamandla,Siyosebenza ngamandla.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
yosebenza ngamandla,Siyosebenza ngamandla.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
siyosebenza ngamandla,Siyosebenza ngamandla.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
siyosebenza ngamandla,Siyosebenza ngamandla.,['1111111111111111111'],['[]']
siyosebenza ngamandla,Siyosebenza ngamandla.,"['1111110111111111111', '1111110111111111111']","['[]', '[]']"
siyosebenza ngamandla,Siyosebenza ngamandla.,['1111110111111111111'],['[]']
siyosabsebenza ngamandla,Siyosebenza ngamandla.,['1111111111111111111'],['[]']
siyosibenza l,Siyosebenza ngamandla.,['1111100111111111111'],['[]']
ehhe,"Ehhe, uyajama kakhulu.",['101111111111011111'],['[]']
ningacele inyama aafazi,"Ehhe, uyajama kakhulu.",['100111111111111111'],['[]']
euyajamakhakhulu,"Ehhe, uyajama kakhulu.",['000111111111011111'],['[]']
ehhe,"Ehhe, uyajama kakhulu.","['111111111111111111', '111111111111111111', '111111111111111111']","['[]', '[]', '[]']"
ehhe,"Ehhe, uyajama kakhulu.","['111111111111111111', '101111111111111111']","['[]', '[]']"
e,"Ehhe, uyajama kakhulu.","['001111111111111111', '111111111111111111', '100111111111111111']","['[]', '[]', '[]']"
e,"Ehhe, uyajama kakhulu.",['111111111111111111'],['[]']
ye,"Ehhe, uyajama kakhulu.","['101111111111111111', '111111111111111111']","['[]', '[]']"
ehhe,"Ehhe, uyajama kakhulu.",['101111111111011111'],['[]']
euyauyajama khakhulu,"Ehhe, uyajama kakhulu.",['100111111111011111'],['[]']
e,"Ehhe, uyajama kakhulu.",['100111111111011111'],['[]']
ningagceli inyama azi,"Ningaceli inyama, bafazi.","['111111111111111111111', '111111111111111111111']","['[]', '[]']"
sidonse amahashi,"Ningaceli inyama, bafazi.",['111111101111111111111'],"['[""7""]']"
inginggaxeli iyama bafazi,"Ningaceli inyama, bafazi.",['011101111101111111111'],['[]']
ningaceli inyamabfazi,"Ningaceli inyama, bafazi.","['111111111111111111111', '111111111111111111111', '111111111111111111111']","['[]', '[]', '[]']"
ningaceli inyama,"Ningaceli inyama, bafazi.","['111111111111111111111', '111111111111111111111']","['[]', '[]']"
ningaceli inyama,"Ningaceli inyama, bafazi.","['111111111111111111111', '111111111111111111111']","['[]', '[]']"
ningaceli inyama,"Ningaceli inyama, bafazi.",['111111111111111111111'],['[]']
ningancele inyama bafazi,"Ningaceli inyama, bafazi.","['111101101111111111111', '111101101111111111111']","['[]', '[]']"
ningaceli inyamaz,"Ningaceli inyama, bafazi.",['111111111111111111111'],['[]']
nini ngasele inyamabafazi,"Ningaceli inyama, bafazi.",['111101101111111011111'],['[]']
ingacele nyama afazi,"Ningaceli inyama, bafazi.",['001111101111111111111'],"['[""0""]']"
sidonse amahhashi,Sidonse amahhashi.,"['111111111110111', '111111111111111', '111111111110111']","['[]', '[]', '[]']"
izindlela zinhle,Sidonse amahhashi.,['111111111111111'],['[]']
sidonse amahhashi,Sidonse amahhashi.,"['111111111111111', '111111111111111', '111111111110111']","['[]', '[]', '[]']"
sidonse amahhashi,Sidonse amahhashi.,"['111111111111111', '111111111111111', '111111111111111']","['[]', '[]', '[]']"
sidonse amahhashi,Sidonse amahhashi.,"['111111111111111', '111111111111111']","['[""0""]', '[]']"
sidonsa amahhashi,Sidonse amahhashi.,"['111111111111111', '111111011111111']","['[]', '[]']"
sidonseamahhashi,Sidonse amahhashi.,['111111111111111'],['[]']
sidonsi amashashe,Sidonse amahhashi.,['111111011110111'],['[]']
sidonse amahhashi,Sidonse amahhashi.,['111111111110111'],['[]']
sidonse amahashi,Sidonse amahhashi.,['111111111110111'],['[]']
sindonizaahashi,Sidonse amahhashi.,['111100011110111'],['[]']
niyafuna ukhusobenza na,Niyafuna ukusebenza na?,"['1111111111111011111111', '1111111111011001111111']","['[""13""]', '[]']"
niyafuna ukusebenza na,Niyafuna ukusebenza na?,"['1111111111011111111111', '1111111111011111111111']","['[]', '[]']"
ingiyafuna ukhusibenza na,Niyafuna ukusebenza na?,"['0111111111011111111111', '0111111111111001111111', '0111111111111001111111']","['[]', '[""1""]', '[]']"
niyafuna ukusebenza na,Niyafuna ukusebenza na?,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
niyafuna ukusebenza na,Niyafuna ukusebenza na?,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
nniyafuna ukusebenza na,Niyafuna ukusebenza na?,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
niyafuna ukusebenza na,Niyafuna ukusebenza na?,['1111111111111111111111'],['[]']
ingiyafuna ukusebenza na,Niyafuna ukusebenza na?,"['0111111111111101111111', '0111111111011101111111']","['[""0""]', '[""0""]']"
niyafuna ukhosebenza na,Niyafuna ukusebenza na?,['1111111111011101111111'],['[]']
niyafuna ukhusebenza na,Niyafuna ukusebenza na?,['1111111111111111111111'],['[]']
niyafuna ukhusebenza na,Niyafuna ukusebenza na?,['1111111111011101111111'],['[]']
ingafuna ukhosibenza na,Niyafuna ukusebenza na?,['0000111111011001111111'],['[]']
izindlela zinhle,"Izindlela zinhle, zibanzi kakhulu.","['11111111111111111111111011111', '11111111111111111011011111111']","['[]', '[]']"
ngizothenga,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111111111111111111'],['[]']
izindlela zinhle zibanzikhakhulu,"Izindlela zinhle, zibanzi kakhulu.","['11111111111111111111111011111', '11111111111111111011111011111']","['[]', '[]']"
izindlela zinhle,"Izindlela zinhle, zibanzi kakhulu.","['11111111111111111111111111111', '11111111111111111111111111111']","['[]', '[]']"
izindlela zinhle,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111111111111111111'],['[]']
izindlela zinhle zibanzi kakhulu,"Izindlela zinhle, zibanzi kakhulu.","['11111111111111111111111111111', '11111111111111111111111111111']","['[]', '[]']"
izindlela zinhlekklu,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111111111111111111'],['[]']
izini lela zinhle zibanzi khakhulo,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111111111111111111'],['[]']
izindlela zinhle,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111111111111011111'],['[]']
izindlela zinhle,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111111011111011111'],['[]']
cizinghlela kakulu,"Izindlela zinhle, zibanzi kakhulu.",['11111111111111011011111011111'],"['[""14""]']"
ngizothenga,Ngizothenga.,"['11111111', '11111111']","['[]', '[]']"
siyabhaca,Ngizothenga.,['11111111'],['[]']
ingizothenga,Ngizothenga.,"['11111111', '11111111']","['[]', '[""0""]']"
ngizothenga,Ngizothenga.,"['11111111', '11111111']","['[]', '[]']"
ngizwathenga,Ngizothenga.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
ngizothenga,Ngizothenga.,['11111111'],['[]']
ngizothenga,Ngizothenga.,['11111111'],['[]']
ingizi zothenga,Ngizothenga.,['11111111'],"['[""0""]']"
ngizothenga,Ngizothenga.,['11111111'],['[]']
ngizothenga,Ngizothenga.,['11111111'],['[]']
ngizothenga,Ngizothenga.,['11111111'],['[]']
siyabakha,Siyabhaca.,['11111101'],['[]']
imimese ikhona na,Siyabhaca.,['11111111'],['[]']
iyabhaca,Siyabhaca.,"['11111101', '11111101']","['[]', '[]']"
iyabhaca,Siyabhaca.,['11111111'],['[]']
siyabhaca,Siyabhaca.,['11111111'],['[]']
siyabhaca,Siyabhaca.,['11111111'],['[]']
siyabhatca,Siyabhaca.,['11111111'],['[]']
siyabhanca,Siyabhaca.,"['11111101', '11111111']","['[""6""]', '[""6""]']"
siyabhaca,Siyabhaca.,['11110111'],['[]']
siyabhaca,Siyabhaca.,['11111111'],['[]']
siyabhaca,Siyabhaca.,"['11111111', '11111111']","['[]', '[]']"
imimese ikhona na,Imimese ikhona na? ,['11111111111111111'],['[]']
khufanele wenze lokho,Imimese ikhona na? ,['11111111111111111'],['[]']
imisi ikhona na,Imimese ikhona na? ,"['11100001111111111', '11000101111111111']","['[]', '[]']"
imimese ikhona na,Imimese ikhona na? ,['11111111111111111'],['[]']
imimese ikhona na,Imimese ikhona na? ,['11111111111111111'],['[]']
imimese ikhona na,Imimese ikhona na? ,"['11111111111111111', '11111111111111111']","['[]', '[]']"
imimese,Imimese ikhona na? ,['11111111111111111'],['[]']
imimyezi ikhona na,Imimese ikhona na? ,"['11111101111111111', '11111101111111111']","['[""6""]', '[]']"
imimese ikhona na,Imimese ikhona na? ,['11111111111111111'],['[]']
imimesa ikhona na,Imimese ikhona na? ,['11111101111111111'],['[]']
mezi ikhona na,Imimese ikhona na? ,['00011101111111111'],['[]']
khufanele wenze lokho,Kufanele wenze lokho.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
ukubala nokufunda khahle khulukhuni,Kufanele wenze lokho.,['1111111111111111111'],['[]']
khufanele wenza lokho,Kufanele wenze lokho.,['0111111111111011111'],['[]']
nkufanele wenze lokho,Kufanele wenze lokho.,"['1111111111111111111', '1111111111111111111', '1111111111111111111']","['[]', '[]', '[]']"
ufanele wenze lokho,Kufanele wenze lokho.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
kufanele wenze lokho,Kufanele wenze lokho.,"['1111111111111111111', '1111111111111111111', '1111111111111111110']","['[]', '[]', '[]']"
kufanele wenze lokho,Kufanele wenze lokho.,['1111111111111111111'],['[]']
khufanele wezi lokho,Kufanele wenze lokho.,['0111111111101011111'],['[]']
khufanele wenze lokho,Kufanele wenze lokho.,['0111111111111111111'],['[]']
khufanele wenzawenzloo,Kufanele wenze lokho.,['1111111111111111111'],['[]']
khumfanlele uwezi ikholo,Kufanele wenze lokho.,['0111111111101010000'],"['[""2"", ""9"", ""15""]']"
ukubala nokhufunda khahlekhulukhuni,"Ukubhala nokufunda kahle kulukhuni, bantwana.","['1010111111011111110101101111111101101111', '1110111111111111111101101111111101101111']","['[]', '[]']"
ngimbongile umfana khakhulu ekhuhleni,"Ukubhala nokufunda kahle kulukhuni, bantwana.",['1110111111111111111111111111111111111111'],['[]']
ukhubhala nokhufunda khahle khulunkhuni,"Ukubhala nokufunda kahle kulukhuni, bantwana.",['1011111111011111110111101110111111111111'],['[]']
ukubhala nokufunda kahle kulukhuni,"Ukubhala nokufunda kahle kulukhuni, bantwana.","['1111111111111111111111111111111111111111', '1111111111111111111111111111111111111111']","['[]', '[]']"
ukubhala nokufunda kahle kulukhuni,"Ukubhala nokufunda kahle kulukhuni, bantwana.","['1111111111111111111111111111111111111111', '1111111111111111111111111111111111111111']","['[]', '[]']"
ukubhala nokufunda kahle kulukhui,"Ukubhala nokufunda kahle kulukhuni, bantwana.","['1111111111111111111111111111111111111111', '1111111111111111111111111111111111111111']","['[]', '[]']"
ukubhalanokunda kahl,"Ukubhala nokufunda kahle kulukhuni, bantwana.",['1111111111111111111111111111111111111111'],['[]']
uzobhashla nokufunda khashle khulukhuni,"Ukubhala nokufunda kahle kulukhuni, bantwana.","['0011101111011111110111101111111111101111', '0000000111011111110101101111111101101111']","['[]', '[]']"
ukhubala nokufunda khahle,"Ukubhala nokufunda kahle kulukhuni, bantwana.",['1011111111011111110111101110111111111111'],['[]']
ukubhahla nokufunda khahlekulukhuni,"Ukubhala nokufunda kahle kulukhuni, bantwana.",['1111101111011111110101111111111101101111'],['[]']
ukhubhlbhala khokhufunda khahle ukukunibatwana,"Ukubhala nokufunda kahle kulukhuni, bantwana.",['1111111101011111110111101011111111101111'],['[]']
ngimbongile umfana khakhuluu ekhuseni,Ngimbongile umfana kakhulu ekuseni.,"['1111111111111111101111111011111', '1111111111111111101111111111111']","['[]', '[]']"
abanthwana bafuna umfundisi,Ngimbongile umfana kakhulu ekuseni.,['1111111111111111111111111111111'],['[]']
ingimbongile umfana khakhulu eguseni,Ngimbongile umfana kakhulu ekuseni.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[""0""]']"
ngimbongile umfana kakhulu ekuseni,Ngimbongile umfana kakhulu ekuseni.,"['1111111111111111111111111111111', '1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]', '[]']"
nimbonile umfana kakhulu ekushleni,Ngimbongile umfana kakhulu ekuseni.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
ngimbongile umfana kakhulu ekuseni,Ngimbongile umfana kakhulu ekuseni.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
ngimbongileumfana kakhulu ekuseni,Ngimbongile umfana kakhulu ekuseni.,['1111111111111111111111111111111'],['[]']
ingimbongile umfana khakhulu ekhuseni,Ngimbongile umfana kakhulu ekuseni.,['1111111111111111101111111011111'],['[]']
ngibongile umfana khakhulu ekhuseni,Ngimbongile umfana kakhulu ekuseni.,['1101111111111111101111111011111'],['[]']
ngimbongilenkulukusiuen,Ngimbongile umfana kakhulu ekuseni.,['1111111111111111101111111011111'],['[]']
ngibholifana kakhulu egosini,Ngimbongile umfana kakhulu ekuseni.,['1101101111111111111111111111111'],['[]']
abanthwana bafuna umfundisi,Abantwana bafuna umfundisi,"['11110111111111111111111111', '10110111110111111111111111']","['[]', '[]']"
silethe isinkwa,Abantwana bafuna umfundisi,['11111111111111111111111111'],['[]']
abantwana bafuna umfundisi,Abantwana bafuna umfundisi,['10111111110111111111111111'],['[]']
abantwana bafuna umfundisi,Abantwana bafuna umfundisi,"['11111111111111111111111111', '11111111111111111111111111', '11111111111111111111111111']","['[]', '[]', '[]']"
abantwana bafuna umfundisi,Abantwana bafuna umfundisi,['11111111111111111111111111'],['[]']
abantwana bafuna umfundisi,Abantwana bafuna umfundisi,"['11111111111111111111111111', '11111111111111111111111111']","['[]', '[]']"
abantwana,Abantwana bafuna umfundisi,['11111111111111111111111111'],['[]']
abathwana bafuna umfundisi,Abantwana bafuna umfundisi,['11100111110111111111111111'],['[]']
abantwana bafuna umfundisi,Abantwana bafuna umfundisi,['11111111111111111111111111'],['[]']
abanthwana bafuna umfundisi,Abantwana bafuna umfundisi,['11111111111111111111111111'],['[]']
abanthubafunaumfundisi,Abantwana bafuna umfundisi,['10111000010111111111111111'],['[]']
silethe isinkwa,Silethe isinkwa.,"['11111111111111', '11111111111111']","['[]', '[]']"
abafazi bayahlakhula manje,Silethe isinkwa.,['11111111111111'],['[]']
silethe isinkwa,Silethe isinkwa.,"['01111111111111', '11111111111111']","['[]', '[]']"
silethe isinkwa,Silethe isinkwa.,"['11111111111111', '11111111111111']","['[]', '[]']"
silethe isinkwa,Silethe isinkwa.,"['11111111111111', '11111111111111']","['[]', '[]']"
silethe isinkwa,Silethe isinkwa.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
silethe isinkwa,Silethe isinkwa.,['11111111111111'],['[]']
selethi izinkhwa,Silethe isinkwa.,"['11111011011111', '11111011111111', '11101011011111']","['[]', '[]', '[]']"
silethe isinkwa,Silethe isinkwa.,['11111111111111'],['[]']
silithe isikwa,Silethe isinkwa.,['11101111111111'],['[]']
silethi isinkwa,Silethe isinkwa.,['11111011111111'],['[]']
abafazi bayashlakhula manje,"Abafazi bayahlakula manje, kodwa abantwana bayafunda.",['11111111111101011111111110111111111011111111111111'],['[]']
siyabusa,"Abafazi bayahlakula manje, kodwa abantwana bayafunda.",['11111111111111111111111111111111111111111111111111'],['[]']
abafazi bayahlukhula manje,"Abafazi bayahlakula manje, kodwa abantwana bayafunda.",['11111111111100011111111110111111111111111111111111'],['[]']
abafazi bayahlakula manje,"Abafazi bayahlakula manje, kodwa abantwana bayafunda.","['11111111111111111111111111111111111111111111111111', '11111111111111111111111111111111111111111111111111']","['[]', '[]']"
abafazi bayahlakula manje,"Abafazi bayahlakula manje, kodwa abantwana bayafunda.","['11111111111111111111111111111111111111111111111111', '11111111111111111111111111111111111111111111111111']","['[]', '[]']"
abafazi bayahlakula manje,"Abafazi bayahlakula manje, kodwa abantwana bayafunda.","['11111111111111111111111111111111111111111111111111', '11111111111111111111111111111111111111111111111111']","['[]', '[]']"
